0.2518	0.5863	0.2358	0.5412	1
0.6024	0.6855	0.3265	0.8070	0
0.2181	0.2043	0.7642	0.6412	1
0.1387	0.7642	0.2256	0.1347	1
0.7695	0.5458	0.2978	0.8619	0
0.5816	0.7736	0.1413	0.5142	0
0.8429	0.9095	0.0302	0.3653	0
0.7804	0.6118	0.2841	0.8408	0
0.8291	0.6088	0.2721	0.8811	0
0.8240	0.3328	0.3727	0.7816	0
0.4227	0.9460	0.2344	0.1049	0
0.1154	0.7861	0.2324	0.0307	1
0.6293	0.8427	0.1733	0.6464	0
0.3810	0.2736	0.5929	0.8164	1
0.3430	0.3115	0.4777	0.8724	1
0.7100	0.8554	0.0827	0.6826	0
0.9222	0.8963	0.0216	0.3523	0
0.5599	0.5134	0.4720	0.6499	0
0.8066	0.3777	0.3926	0.9469	0
0.4121	0.8708	0.3329	0.2594	0
0.4580	0.4966	0.2125	0.8318	1
0.7318	0.8724	0.0445	0.3856	0
0.7898	0.7423	0.1220	0.7165	0
0.4784	0.6313	0.1002	0.5165	1
0.6218	0.5479	0.1280	0.8666	1
0.2657	0.2444	0.7206	0.7276	1
0.7938	0.6621	0.2581	0.8180	0
0.7428	0.3484	0.3915	0.7695	0
0.3752	0.2796	0.4711	0.8040	1
0.7571	0.8717	0.0549	0.4263	0
0.3981	0.9210	0.3476	0.3762	0
0.8859	0.9280	0.0402	0.3758	0
0.1922	0.3089	0.6990	0.7438	1
0.2356	0.6095	0.2636	0.7536	1
0.7266	0.6012	0.3188	0.8195	0
0.3775	0.1856	0.6029	0.7629	1
0.1438	0.2983	0.7121	0.7456	1
0.5551	0.7093	0.2737	0.7425	0
0.4863	0.6081	0.1006	0.7186	1
0.8008	0.6495	0.2590	0.8238	0
0.5542	0.7811	0.2428	0.7433	0
0.4993	0.4563	0.5736	0.7817	0
0.7978	0.4143	0.3352	0.8210	0
0.8142	0.8033	0.1084	0.6772	0
0.6124	0.6503	0.0530	0.6254	1
0.4377	0.2753	0.4691	0.8874	1
0.7161	0.5321	0.4255	0.7602	0
0.6961	0.8150	0.2176	0.6090	0
0.6997	0.6339	0.3122	0.8031	0
0.2550	0.0451	0.8808	0.7095	1
0.5352	0.5419	0.2603	0.7402	0
0.5665	0.8580	0.1351	0.3678	0
0.3174	0.3501	0.4855	0.7706	1
0.6847	0.6263	0.2363	0.7789	0
0.4387	0.5188	0.4957	0.6367	0
0.2374	0.0118	0.9856	0.5077	1
0.3129	0.5765	0.2637	0.7754	1
0.5091	0.8406	0.2880	0.3892	0
0.5503	0.9185	0.1679	0.3532	0
0.1706	0.3034	0.7002	0.7512	1
0.2988	0.4928	0.3399	0.9218	1
0.3229	0.2987	0.4867	0.7892	1
0.1778	0.6445	0.2565	0.6901	1
0.5240	0.4959	0.2103	0.9042	1
0.1119	0.8561	0.2110	0.1889	1
0.4574	0.3890	0.4052	0.9344	1
0.5762	0.4940	0.5375	0.7171	0
0.4679	0.2189	0.5170	0.8586	1
0.2816	0.5312	0.3407	0.7781	1
0.7827	0.8950	0.0534	0.3298	0
0.6932	0.3504	0.4856	0.7923	0
0.2999	0.5816	0.2574	0.7383	1
0.4182	0.4511	0.2051	0.7635	1
0.6479	0.7547	0.2317	0.8424	0
0.3183	0.5221	0.3051	0.8814	1
0.8705	0.3294	0.3786	0.7608	0
0.6195	0.8589	0.1574	0.6113	0
0.5308	0.4782	0.2749	0.8728	1
0.5452	0.5250	0.1915	0.8803	1
0.7222	0.7712	0.2161	0.8555	0
0.4802	0.4762	0.5746	0.8339	0
0.7513	0.3621	0.4158	0.8911	0
0.2541	0.6230	0.2344	0.6640	1
0.3752	0.1753	0.6258	0.7741	1
0.7500	0.9029	0.0670	0.4158	0
0.8367	0.4248	0.3415	0.9456	0
0.5320	0.7712	0.2578	0.7290	0
0.5100	0.4760	0.2881	0.8616	1
0.5230	0.4981	0.5606	0.8751	0
0.8049	0.4108	0.3169	0.8517	0
0.5758	0.7345	0.3085	0.7521	0
0.5628	0.7332	0.2792	0.7201	0
0.3040	0.1771	0.6184	0.6866	1
0.6803	0.6859	0.0128	0.4956	1
0.4467	0.6326	0.0980	0.4916	1
0.2018	0.0266	0.9649	0.5053	1
0.3280	0.6480	0.1686	0.5006	1
0.4769	0.5099	0.2296	0.7689	1
0.7657	0.8811	0.0563	0.4393	0
0.2323	0.0269	0.9583	0.5548	1
0.4386	0.6163	0.0932	0.6537	1
0.4827	0.5009	0.2071	0.8469	1
0.8633	0.5257	0.2367	0.8180	0
0.4012	0.5207	0.1777	0.7361	1
0.5749	0.3733	0.4277	0.7550	0
0.6508	0.8619	0.0760	0.5979	0
0.7601	0.6338	0.2375	0.7680	0
0.6057	0.6739	0.3197	0.8165	0
0.7000	0.9178	0.0813	0.3691	0
0.7965	0.3809	0.3810	0.8112	0
0.6908	0.6126	0.3179	0.8045	0
0.5667	0.6965	0.0011	0.1783	1
0.0000	0.8596	0.2389	0.3178	1
0.6490	0.3240	0.5987	0.6420	0
0.2388	0.0300	0.7869	0.5170	1
0.6173	0.7285	0.2318	0.7818	0
0.5453	0.3933	0.3608	0.6863	0
0.5397	0.6257	0.4139	0.8558	0
0.4077	0.9832	0.2575	0.0322	0
0.7548	0.5099	0.2623	0.8135	0
0.6153	0.6437	0.0541	0.6424	1
0.7716	0.7281	0.1538	0.7608	0
